,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order ID Year,Days to Ship,Customer Name Masked,Original Price,Total Revenue,Total Profit,Discount Price,Total Discount,Shipping Urgency,Days Last Order,Overall Revenue Generated,Overall Quantity Sold,Overall Discount Given,Ship Category,Discounted Price
1102,2248,CA-2015-116092,2015-02-15,2015-02-18,Second Class,JM-16195,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,13.36,2,0.0,6.4128,2015,3,JM,13.36,26.72,12.8256,0.0,0.0,Urgent,2777,4483.984,37,0.6000000000000001,1-5 Days,13.36
1103,2253,CA-2016-117849,2016-04-15,2016-04-17,Second Class,JK-16120,Home Office,United States,San Diego,California,92105,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,0.0,68.976,2016,2,JK,143.7,431.09999999999997,206.928,0.0,0.0,Urgent,2810,14191.954,32,2.1,1-5 Days,143.7
1104,2254,CA-2015-169201,2015-09-28,2015-09-28,First Class,HG-14965,Corporate,United States,San Francisco,California,94110,West,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,43.26,3,0.0,14.2758,2015,0,HG,43.26,129.78,42.8274,0.0,0.0,Immediate,2926,10556.61,38,2.7,,43.26
1107,2260,CA-2015-117611,2015-08-11,2015-10-11,Second Class,MZ-17335,Home Office,United States,San Diego,California,92024,West,OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips,5.0,1,0.0,2.4,2015,61,MZ,5.0,5.0,2.4,0.0,0.0,Standard,2785,103.728,6,0.2,31+ Days,5.0
1108,2262,US-2015-137960,2015-12-18,2015-12-18,Same Day,MW-18220,Consumer,United States,New York City,New York,10035,East,TEC-AC-10002253,Technology,Accessories,Imation Bio 8GB USB�Flash Drive Imation�Corp,166.24,1,0.0,24.936,2015,0,MW,166.24,166.24,24.936,0.0,0.0,Immediate,2772,11534.958,25,0.6000000000000001,,166.24
1109,2263,CA-2017-122994,2017-06-02,2017-09-02,First Class,MV-17485,Consumer,United States,Arlington,Virginia,22204,South,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",359.97,3,0.0,79.1934,2017,92,MV,359.97,1079.91,237.5802,0.0,0.0,Standard,2791,3114.706,26,1.5999999999999999,31+ Days,359.97
1111,2267,CA-2017-149146,2017-12-10,2017-12-10,Same Day,SM-20320,Home Office,United States,Monroe,North Carolina,28110,South,OFF-PA-10003919,Office Supplies,Paper,Xerox 1989,7.968,2,0.2,2.6892,2017,0,SM,9.959999999999999,15.936,5.3784,1.992,3.984,Immediate,2775,5960.282,15,0.9,,7.967999999999999
1112,2268,CA-2017-137470,2017-09-17,2017-09-17,Same Day,TP-21415,Consumer,United States,Seattle,Washington,98115,West,OFF-PA-10002001,Office Supplies,Paper,Xerox 1984,12.96,2,0.0,6.3504,2017,0,TP,12.96,25.92,12.7008,0.0,0.0,Immediate,2859,41868.652,27,1.9000000000000001,,12.96
1113,2269,CA-2017-105480,2017-12-20,2017-12-26,Standard Class,DK-13225,Corporate,United States,Rochester,New York,14609,East,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,6.48,1,0.0,3.1104,2017,6,DK,6.48,6.48,3.1104,0.0,0.0,Standard,2765,15940.97,38,1.5,6-30 Days,6.48
1114,2271,CA-2017-164917,2017-02-12,2017-07-12,Standard Class,MK-17905,Corporate,United States,Miami,Florida,33180,South,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,47.96,5,0.2,4.1965,2017,150,MK,59.949999999999996,239.8,20.9825,11.99,59.95,Standard,2894,4944.09,34,2.9,31+ Days,47.959999999999994
1115,2272,CA-2015-102036,2015-09-21,2015-09-27,Standard Class,CS-12130,Consumer,United States,Seattle,Washington,98105,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,199.74,6,0.0,47.9376,2015,6,CS,199.74,1198.44,287.6256,0.0,0.0,Standard,3244,1662.9,16,0.4,6-30 Days,199.74
1117,2275,CA-2014-157882,2014-03-10,2014-10-08,Second Class,AR-10405,Corporate,United States,Los Angeles,California,90036,West,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,143.432,1,0.2,3.5858,2014,212,AR,179.28999999999996,143.432,3.5858,35.858,35.858,Standard,2880,12278.800000000001,18,0.5,31+ Days,143.43199999999996
1118,2277,CA-2014-104283,2014-06-27,2014-07-01,Standard Class,LM-17065,Consumer,United States,Southaven,Mississippi,38671,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",306.2,5,0.0,0.0,2014,4,LM,306.2,1531.0,0.0,0.0,0.0,Standard,3325,7773.6179999999995,27,0.4,1-5 Days,306.2
1119,2280,CA-2017-142622,2017-10-30,2017-10-30,First Class,JK-15625,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,97.568,2,0.2,-6.098,2017,0,JK,121.96,195.136,-12.196,24.392,48.784,Immediate,2816,5085.406,24,0.8,,97.568
1120,2283,CA-2016-132143,2016-03-09,2016-05-09,First Class,FM-14215,Corporate,United States,Middletown,Connecticut,06457,East,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",48.16,7,0.0,22.1536,2016,61,FM,48.16,337.12,155.0752,0.0,0.0,Standard,2762,7499.192,34,1.0,31+ Days,48.16
1121,2284,CA-2015-153108,2015-05-03,2015-09-03,Standard Class,SF-20200,Consumer,United States,New Castle,Indiana,47362,Central,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,23.92,2,0.0,6.6976,2015,123,SF,23.92,47.84,13.3952,0.0,0.0,Standard,2880,4856.814,49,1.3,31+ Days,23.92
1122,2286,CA-2016-112676,2016-05-05,2016-08-05,First Class,PJ-18835,Corporate,United States,Murfreesboro,Tennessee,37130,South,OFF-PA-10003971,Office Supplies,Paper,Xerox 1965,14.352,3,0.2,5.2026,2016,92,PJ,17.939999999999998,43.056,15.607800000000001,3.5879999999999996,10.764,Standard,2794,956.256,30,0.8,31+ Days,14.351999999999999
1123,2287,CA-2017-165687,2017-11-17,2017-11-23,Standard Class,CS-12355,Consumer,United States,Salem,Virginia,24153,South,OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,35.04,2,0.0,12.264,2017,6,CS,35.04,70.08,24.528,0.0,0.0,Standard,2761,7054.014,36,1.0,6-30 Days,35.04
1124,2288,US-2017-112928,2017-01-06,2017-05-06,Second Class,BB-10990,Corporate,United States,Toledo,Ohio,43615,East,OFF-AP-10002287,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",17.48,5,0.2,1.311,2017,120,BB,21.849999999999998,87.4,6.555,4.37,21.85,Standard,2860,1021.0039999999999,21,1.2000000000000002,31+ Days,17.479999999999997
1125,2289,CA-2017-143343,2017-10-06,2017-10-06,First Class,BW-11200,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002375,Office Supplies,Art,Newell 351,16.4,5,0.0,4.756,2017,0,BW,16.4,82.0,23.78,0.0,0.0,Immediate,2840,12906.044,35,1.3,,16.4
1127,2291,CA-2015-149342,2015-04-20,2015-04-25,Standard Class,TS-21160,Corporate,United States,Columbus,Georgia,31907,South,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,287.97,3,0.0,77.7519,2015,5,TS,287.97,863.9100000000001,233.25570000000002,0.0,0.0,Standard,3259,2833.208,17,1.2,1-5 Days,287.97
1128,2294,CA-2015-130995,2015-01-11,2015-06-11,Standard Class,QJ-19255,Corporate,United States,New York City,New York,10009,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.95,1,0.0,1.3365,2015,151,QJ,4.95,4.95,1.3365,0.0,0.0,Standard,2987,30426.286,44,0.8,31+ Days,4.95
1129,2295,CA-2017-127929,2017-12-23,2017-12-27,Standard Class,FM-14215,Corporate,United States,Middletown,Connecticut,06457,East,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",181.95,3,0.0,38.2095,2017,4,FM,181.95,545.8499999999999,114.6285,0.0,0.0,Standard,2762,7499.192,34,1.0,1-5 Days,181.95
1130,2296,CA-2015-113145,2015-01-11,2015-05-11,Standard Class,VD-21670,Consumer,United States,New York City,New York,10011,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,13.52,4,0.0,6.2192,2015,120,VD,13.52,54.08,24.8768,0.0,0.0,Standard,3336,9225.93,22,0.6000000000000001,31+ Days,13.52
1131,2301,CA-2014-162362,2014-11-14,2014-11-18,Standard Class,JL-15505,Consumer,United States,Midland,Michigan,48640,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,12.72,3,0.0,6.36,2014,4,JL,12.72,38.160000000000004,19.080000000000002,0.0,0.0,Standard,2804,4970.052,22,0.6000000000000001,1-5 Days,12.72
1132,2303,CA-2016-106558,2016-01-17,2016-01-21,Standard Class,DL-13495,Corporate,United States,Columbus,Georgia,31907,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316.0,4,0.0,31.6,2016,4,DL,316.0,1264.0,126.4,0.0,0.0,Standard,2831,15846.122000000001,27,0.6000000000000001,1-5 Days,316.0
1134,2306,CA-2016-115574,2016-12-23,2016-12-24,First Class,BP-11185,Corporate,United States,Chicago,Illinois,60623,Central,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",141.372,2,0.3,-14.1372,2016,1,BP,201.96000000000004,282.744,-28.2744,60.58800000000001,121.17600000000002,Urgent,2756,6935.704000000001,32,1.5,1-5 Days,141.372
1135,2307,CA-2015-160794,2015-06-08,2015-08-08,First Class,MS-17980,Corporate,United States,Houston,Texas,77041,Central,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,27.216,3,0.2,9.8658,2015,61,MS,34.019999999999996,81.648,29.5974,6.803999999999999,20.412,Standard,3017,3425.968,29,0.9,31+ Days,27.215999999999998
1137,2309,US-2017-120418,2017-11-06,2017-12-06,First Class,BC-11125,Home Office,United States,Peoria,Arizona,85345,West,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,280.792,1,0.2,35.099,2017,30,BC,350.98999999999995,280.792,35.099,70.198,70.198,Standard,2809,12912.570000000002,38,1.2000000000000002,6-30 Days,280.792
1138,2314,CA-2017-122035,2017-07-20,2017-07-25,Standard Class,EM-13825,Corporate,United States,Sioux Falls,South Dakota,57103,Central,OFF-LA-10004093,Office Supplies,Labels,Avery 486,14.62,2,0.0,6.8714,2017,5,EM,14.62,29.24,13.7428,0.0,0.0,Standard,2918,5580.738,31,1.0,1-5 Days,14.62
1139,2320,CA-2015-117828,2015-12-23,2015-12-26,First Class,BD-11500,Consumer,United States,Richmond,Virginia,23223,South,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,194.32,4,0.0,56.3528,2015,3,BD,194.32,777.28,225.4112,0.0,0.0,Urgent,2790,9233.033,34,0.35,1-5 Days,194.32
1140,2321,CA-2017-165491,2017-03-20,2017-03-24,Standard Class,HW-14935,Corporate,United States,Seattle,Washington,98115,West,TEC-AC-10000358,Technology,Accessories,Imation�Secure�Drive�+ Hardware Encrypted USB�flash drive�- 16 GB,265.93,7,0.0,63.8232,2017,4,HW,265.93,1861.51,446.7624,0.0,0.0,Standard,2889,25877.186,41,0.3,1-5 Days,265.93
1141,2322,CA-2015-109470,2015-12-31,2016-03-01,Second Class,KC-16255,Corporate,United States,Henderson,Kentucky,42420,South,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,94.74,3,0.0,44.5278,2015,61,KC,94.74,284.21999999999997,133.58339999999998,0.0,0.0,Standard,3162,5773.514,15,0.2,31+ Days,94.74
1142,2326,CA-2015-105102,2015-09-15,2015-09-19,Second Class,BM-11575,Corporate,United States,New York City,New York,10035,East,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,79.872,3,0.2,29.952,2015,4,BM,99.83999999999999,239.61599999999999,89.85600000000001,19.968,59.903999999999996,Standard,2855,1681.0739999999998,16,1.0,1-5 Days,79.87199999999999
1143,2329,CA-2017-138422,2017-09-23,2017-09-26,First Class,KN-16705,Home Office,United States,Fort Collins,Colorado,80525,West,OFF-EN-10004147,Office Supplies,Envelopes,Wausau Papers Astrobrights Colored Envelopes,14.352,3,0.2,5.2026,2017,3,KN,17.939999999999998,43.056,15.607800000000001,3.5879999999999996,10.764,Urgent,2809,1903.6460000000002,26,0.8,1-5 Days,14.351999999999999
1145,2331,CA-2016-155187,2016-09-24,2016-09-26,Second Class,LA-16780,Corporate,United States,Los Angeles,California,90004,West,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",41.96,2,0.0,2.9372,2016,2,LA,41.96,83.92,5.8744,0.0,0.0,Urgent,2909,25118.264000000003,40,1.2,1-5 Days,41.96
1147,2335,CA-2014-140886,2014-09-30,2014-10-04,Standard Class,KW-16570,Consumer,United States,Clarksville,Tennessee,37042,South,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,69.216,6,0.2,11.2476,2014,4,KW,86.51999999999998,415.29599999999994,67.4856,17.304,103.82399999999998,Standard,3526,1264.0159999999998,19,0.2,1-5 Days,69.21599999999998
1148,2336,CA-2017-152695,2017-10-12,2017-10-12,Same Day,CC-12220,Consumer,United States,Fairfield,Connecticut,06824,East,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,2017,0,CC,10.86,32.58,15.3126,0.0,0.0,Immediate,2799,7781.83,39,1.2,,10.86
1149,2338,CA-2014-110639,2014-08-23,2014-08-23,Same Day,RH-19495,Consumer,United States,New York City,New York,10009,East,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,25.92,4,0.0,12.4416,2014,0,RH,25.92,103.68,49.7664,0.0,0.0,Immediate,2777,16672.83,24,0.4,,25.92
1150,2340,CA-2014-121727,2014-08-19,2014-08-24,Standard Class,JK-15625,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,10.72,2,0.2,1.742,2014,5,JK,13.4,21.44,3.484,2.68,5.36,Standard,2816,5085.406,24,0.8,1-5 Days,10.72
1151,2341,CA-2016-137736,2016-10-11,2016-11-15,Standard Class,DC-13285,Consumer,United States,Warner Robins,Georgia,31088,South,OFF-AR-10004999,Office Supplies,Art,Newell 315,41.86,7,0.0,10.465,2016,35,DC,41.86,293.02,73.255,0.0,0.0,Standard,2926,4587.360000000001,24,0.35,31+ Days,41.86
1152,2342,US-2014-143231,2014-12-31,2015-03-01,First Class,GM-14455,Home Office,United States,Franklin,Massachusetts,02038,East,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame,63.2,5,0.0,23.384,2014,60,GM,63.2,316.0,116.92,0.0,0.0,Standard,2771,11193.718,28,1.0,31+ Days,63.2
1153,2344,US-2014-155894,2014-07-26,2014-07-30,Second Class,CL-11890,Consumer,United States,Chicago,Illinois,60623,Central,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",123.552,3,0.2,-29.3436,2014,4,CL,154.44,370.656,-88.0308,30.888,92.664,Standard,2840,684.318,12,0.4,1-5 Days,123.55199999999999
1155,2346,CA-2016-159373,2016-03-13,2016-03-18,Standard Class,LT-17110,Consumer,United States,San Antonio,Texas,78207,Central,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",70.08,5,0.2,24.528,2016,5,LT,87.6,350.4,122.63999999999999,17.52,87.6,Standard,2789,3799.746,36,1.8,1-5 Days,70.08
1156,2349,CA-2017-109701,2017-02-12,2017-03-12,Same Day,AM-10360,Corporate,United States,Los Angeles,California,90032,West,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,9.024,6,0.2,3.1584,2017,28,AM,11.279999999999998,54.14399999999999,18.9504,2.256,13.535999999999998,Standard,2971,2358.072,25,0.6000000000000001,6-30 Days,9.023999999999997
1159,2363,CA-2017-136497,2017-04-16,2017-04-20,Standard Class,RF-19840,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,13.71,5,0.7,-10.054,2017,4,RF,45.699999999999996,68.55000000000001,-50.27,31.989999999999995,159.95,Standard,2761,3714.478,31,0.8999999999999999,1-5 Days,13.71
1160,2364,US-2016-108637,2016-03-13,2016-03-18,Standard Class,AB-10060,Home Office,United States,Waynesboro,Virginia,22980,South,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,0.0,40.9216,2016,5,AB,127.88,255.76,81.8432,0.0,0.0,Standard,2860,14808.783999999998,21,0.2,1-5 Days,127.88
1161,2367,CA-2014-102295,2014-11-24,2014-11-26,Second Class,EH-13990,Consumer,United States,Sacramento,California,95823,West,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",120.712,1,0.2,-18.1068,2014,2,EH,150.89,120.712,-18.1068,30.177999999999997,30.177999999999997,Urgent,3160,3037.0699999999997,17,0.5,1-5 Days,120.71199999999999
1162,2368,CA-2017-123659,2017-10-02,2017-10-02,First Class,MN-17935,Consumer,United States,Clinton,Maryland,20735,East,OFF-PA-10002464,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),23.12,4,0.0,11.3288,2017,0,MN,23.12,92.48,45.3152,0.0,0.0,Immediate,2789,7386.982,23,1.4000000000000001,,23.12
1163,2369,US-2016-129469,2016-09-23,2016-09-27,Standard Class,KL-16555,Corporate,United States,Fairfield,Ohio,45014,East,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",532.704,6,0.2,-26.6352,2016,4,KL,665.8799999999999,3196.2239999999997,-159.8112,133.176,799.0559999999999,Standard,2754,8444.583999999999,31,2.1,1-5 Days,532.704
1165,2372,CA-2016-159940,2016-07-07,2016-11-07,Second Class,BF-11020,Corporate,United States,Aurora,Illinois,60505,Central,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,60.288,8,0.6,-27.1296,2016,123,BF,150.71999999999997,482.304,-217.0368,90.43199999999997,723.4559999999998,Standard,2829,5519.144,34,2.2,31+ Days,60.288
1166,2376,CA-2017-119669,2017-01-24,2017-01-30,Standard Class,TP-21130,Consumer,United States,Smyrna,Georgia,30080,South,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67,3,0.0,0.1134,2017,6,TP,5.67,17.009999999999998,0.3402,0.0,0.0,Standard,2763,2585.632,25,1.4000000000000001,6-30 Days,5.67
1167,2377,US-2014-164616,2014-08-19,2014-08-21,Second Class,MS-17770,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,76.776,4,0.7,-58.8616,2014,2,MS,255.91999999999996,307.104,-235.4464,179.14399999999995,716.5759999999998,Urgent,2876,6388.544,28,1.3,1-5 Days,76.77600000000001
1168,2379,CA-2015-148628,2015-06-12,2015-11-12,Standard Class,KM-16375,Home Office,United States,Thousand Oaks,California,91360,West,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",32.75,5,0.0,15.065,2015,153,KM,32.75,163.75,75.325,0.0,0.0,Standard,3018,4182.87,25,0.6000000000000001,31+ Days,32.75
1169,2380,CA-2016-118052,2016-06-05,2016-10-05,Standard Class,BE-11455,Home Office,United States,Lorain,Ohio,44052,East,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,7.216,2,0.2,1.7138,2016,122,BE,9.02,14.432,3.4276,1.804,3.608,Standard,3009,4302.958,18,0.4,31+ Days,7.215999999999999
1170,2383,US-2017-117534,2017-03-25,2017-03-26,First Class,CV-12295,Consumer,United States,Fresno,California,93727,West,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,176.04,4,0.0,45.7704,2017,1,CV,176.04,704.16,183.0816,0.0,0.0,Urgent,3009,2534.408,18,0.2,1-5 Days,176.04
1171,2388,CA-2015-145065,2015-12-12,2015-12-15,First Class,DK-13375,Consumer,United States,San Diego,California,92105,West,OFF-FA-10001229,Office Supplies,Fasteners,Staples,7.86,2,0.0,3.6156,2015,3,DK,7.86,15.72,7.2312,0.0,0.0,Urgent,2774,2785.192,18,1.4000000000000001,1-5 Days,7.86
1172,2390,US-2015-127040,2015-06-12,2015-10-12,Standard Class,SG-20605,Consumer,United States,New York City,New York,10009,East,OFF-PA-10004255,Office Supplies,Paper,Xerox 219,6.48,1,0.0,3.1104,2015,122,SG,6.48,6.48,3.1104,0.0,0.0,Standard,2863,4535.578,19,0.4,31+ Days,6.48
1173,2394,CA-2016-128111,2016-03-17,2016-03-23,Standard Class,CS-12355,Consumer,United States,Malden,Massachusetts,02148,East,OFF-AR-10000588,Office Supplies,Art,Newell 345,39.68,2,0.0,10.3168,2016,6,CS,39.68,79.36,20.6336,0.0,0.0,Standard,2761,7054.014,36,1.0,6-30 Days,39.68
1174,2395,CA-2015-137897,2015-11-14,2015-11-19,Standard Class,PJ-18835,Corporate,United States,New York City,New York,10035,East,TEC-AC-10002217,Technology,Accessories,Imation�Clip USB�flash drive�- 8 GB,37.6,2,0.0,2.256,2015,5,PJ,37.6,75.2,4.512,0.0,0.0,Standard,2794,956.256,30,0.8,1-5 Days,37.6
1175,2398,CA-2017-169264,2017-08-14,2017-08-16,Second Class,NP-18700,Consumer,United States,San Francisco,California,94109,West,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,5.76,2,0.0,2.8224,2017,2,NP,5.76,11.52,5.6448,0.0,0.0,Urgent,2893,11484.975999999999,26,1.2000000000000002,1-5 Days,5.76
1176,2400,CA-2017-147361,2017-09-09,2017-09-15,Standard Class,SB-20290,Corporate,United States,Florence,South Carolina,29501,South,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,628.81,7,0.0,12.5762,2017,6,SB,628.81,4401.67,88.0334,0.0,0.0,Standard,2802,16624.434,31,1.0,6-30 Days,628.81
1177,2402,CA-2017-145877,2017-01-04,2017-04-04,Second Class,AS-10090,Consumer,United States,Springfield,Missouri,65807,Central,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,94.2,6,0.0,23.55,2017,90,AS,94.2,565.2,141.3,0.0,0.0,Standard,2860,1494.636,29,0.8,31+ Days,94.2
1180,2408,CA-2017-144589,2017-01-20,2017-01-25,Standard Class,TM-21010,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,24.2,5,0.0,7.986,2017,5,TM,24.2,121.0,39.93,0.0,0.0,Standard,2858,14889.079999999998,37,0.8,1-5 Days,24.2
1181,2410,CA-2017-155985,2017-03-23,2017-03-25,First Class,BE-11335,Home Office,United States,San Francisco,California,94122,West,FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,211.84,8,0.0,76.2624,2017,2,BE,211.84,1694.72,610.0992,0.0,0.0,Urgent,2921,7218.776,17,0.2,1-5 Days,211.84
1182,2411,CA-2014-162684,2014-01-08,2014-08-06,Standard Class,AS-10630,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2,0.2,1.917,2014,210,AS,7.1,11.36,3.834,1.42,2.84,Standard,2847,2216.944,19,1.0,31+ Days,5.68
1183,2412,CA-2015-142041,2015-07-06,2015-09-06,Second Class,EM-13810,Corporate,United States,Los Angeles,California,90036,West,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,7.52,5,0.2,2.632,2015,62,EM,9.399999999999999,37.599999999999994,13.16,1.88,9.399999999999999,Standard,2887,9139.382,18,0.8,31+ Days,7.519999999999999
1184,2413,CA-2014-151295,2014-12-11,2014-12-11,Standard Class,JA-15970,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,11.96,2,0.0,5.8604,2014,0,JA,11.96,23.92,11.7208,0.0,0.0,Immediate,2847,657.383,20,1.9999999999999998,,11.96
1186,2416,CA-2015-146087,2015-06-07,2015-11-07,Standard Class,PP-18955,Home Office,United States,Holyoke,Massachusetts,01040,East,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,301.96,2,0.0,60.392,2015,153,PP,301.96,603.92,120.784,0.0,0.0,Standard,2852,8030.880000000001,31,0.7000000000000001,31+ Days,301.96
1189,2420,CA-2017-159597,2017-09-11,2017-11-14,Standard Class,MC-17590,Corporate,United States,Coachella,California,92236,West,OFF-ST-10002289,Office Supplies,Storage,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",63.56,2,0.0,3.178,2017,64,MC,63.56,127.12,6.356,0.0,0.0,Standard,2865,812.322,19,0.7999999999999999,31+ Days,63.56
1190,2422,CA-2016-155551,2016-04-18,2016-04-23,Standard Class,CR-12580,Home Office,United States,Elmhurst,Illinois,60126,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2016,5,CR,287.96999999999997,691.128,-146.8647,57.593999999999994,172.78199999999998,Standard,3049,1839.624,18,0.4,1-5 Days,230.37599999999998
1191,2424,US-2017-147669,2017-12-25,2017-12-30,Standard Class,SV-20935,Consumer,United States,Fairfield,Ohio,45014,East,TEC-AC-10002473,Technology,Accessories,Maxell 4.7GB DVD-R,158.928,7,0.2,41.7186,2017,5,SV,198.66,1112.496,292.03020000000004,39.732,278.124,Standard,2757,11527.58,45,1.7,1-5 Days,158.928
1192,2428,CA-2016-169922,2016-11-06,2016-11-06,Standard Class,MZ-17515,Corporate,United States,Arlington,Texas,76017,Central,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,1.344,4,0.8,-2.1504,2016,0,MZ,6.7200000000000015,5.376,-8.6016,5.376000000000001,21.504000000000005,Immediate,3037,1215.44,19,1.2,,1.3440000000000003
1193,2431,CA-2017-100748,2017-05-13,2017-05-20,Standard Class,RB-19795,Home Office,United States,San Francisco,California,94110,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,58.48,8,0.0,27.4856,2017,7,RB,58.48,467.84,219.8848,0.0,0.0,Standard,2787,4959.34,35,2.5,6-30 Days,58.48
1194,2432,CA-2017-129805,2017-12-28,2018-02-01,Standard Class,HM-14860,Corporate,United States,Seattle,Washington,98103,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,7.4,2,0.0,3.034,2017,35,HM,7.4,14.8,6.068,0.0,0.0,Standard,2757,8851.1016,37,2.3200000000000003,31+ Days,7.4
